run,model,C,accuracy,precision,recall,f1
1,LogReg,1.0,0.7849,0.7819117356026123,0.7902,0.7860340196956133
1,RandomForest,1.0,0.7163,0.7201302666395278,0.7076,0.7138101482901241
1,AdaBoost,1.0,0.725,0.7268145161290323,0.721,0.7238955823293173
1,LSTM,1.0,0.7645,0.7603859027367592,0.7724,0.7663458676455998
2,LogReg,0.5,0.7849,0.7824707515367837,0.7892,0.7858209698297322
2,RandomForest,0.5,0.7177,0.7220975311160988,0.7078,0.7148772851227149
2,AdaBoost,0.5,0.725,0.7268145161290323,0.721,0.7238955823293173
2,LSTM,0.5,0.7563,0.8011750881316099,0.6818,0.7366828741220962
3,LogReg,2.0,0.7847,0.7816023738872404,0.7902,0.7858776727996022
3,RandomForest,2.0,0.7176,0.7223130363710666,0.707,0.7145744895896503
3,AdaBoost,2.0,0.725,0.7268145161290323,0.721,0.7238955823293173
3,LSTM,2.0,0.7616,0.7772361169987283,0.7334,0.7546820333401935
4,LogReg,5.0,0.7835,0.7800829875518672,0.7896,0.7848126428784415
4,RandomForest,5.0,0.7204,0.7245313773431132,0.7112,0.7178037949132015
4,AdaBoost,5.0,0.725,0.7268145161290323,0.721,0.7238955823293173
4,LSTM,5.0,0.7542,0.7953066914498141,0.6846,0.7358125537403267
5,LogReg,10.0,0.7832,0.7799525504151839,0.789,0.7844501889043547
5,RandomForest,10.0,0.7188,0.7241803278688524,0.7068,0.7153846153846154
5,AdaBoost,10.0,0.725,0.7268145161290323,0.721,0.7238955823293173
5,LSTM,10.0,0.7642,0.76283326701154,0.7668,0.7648114901256733
6,LogReg,0.1,0.7845,0.7837622182325953,0.7858,0.7847797862778388
6,RandomForest,0.1,0.7074,0.7126743232157506,0.695,0.7037262049412718
6,AdaBoost,0.1,0.725,0.7268145161290323,0.721,0.7238955823293173
6,LSTM,0.1,0.7563,0.7857302118171683,0.7048,0.7430680021085925
7,LogReg,0.05,0.7824,0.7818363273453094,0.7834,0.7826173826173826
7,RandomForest,0.05,0.7173,0.7221427111020241,0.7064,0.7141846122737843
7,AdaBoost,0.05,0.725,0.7268145161290323,0.721,0.7238955823293173
7,LSTM,0.05,0.7618,0.7416020671834626,0.8036,0.7713572662699174
8,LogReg,0.01,0.7703,0.771876885938443,0.7674,0.7696319326045532
8,RandomForest,0.01,0.7191,0.7240744528533443,0.708,0.7159470118313277
8,AdaBoost,0.01,0.725,0.7268145161290323,0.721,0.7238955823293173
8,LSTM,0.01,0.7551,0.7156382079459003,0.8466,0.7756298671552909
