run,model,C,accuracy,precision,recall,f1
1,LogReg,0.05,0.8178,0.8156535558204211,0.8212,0.8184173809049232
1,RandomForest,0.05,0.7605,0.7550420990796946,0.7712,0.7630355199366775
1,AdaBoost,0.05,0.7616,0.7648845686512759,0.7554,0.7601126987321393
1,LSTM,0.05,0.8022,0.7730393928442356,0.8556,0.8122270742358079
2,LogReg,0.1,0.8178,0.8155281969817315,0.8214,0.8184535671582304
2,RandomForest,0.1,0.7643,0.7584588304322316,0.7756,0.7669336497577376
2,AdaBoost,0.1,0.7616,0.7648845686512759,0.7554,0.7601126987321393
2,LSTM,0.1,0.7982,0.8371777476255088,0.7404,0.7858204202929314
3,LogReg,0.5,0.8191,0.8177653853813981,0.8212,0.8194790939028042
3,RandomForest,0.5,0.7665,0.7610186092066601,0.777,0.7689262741217219
3,AdaBoost,0.5,0.7616,0.7648845686512759,0.7554,0.7601126987321393
3,LSTM,0.5,0.8014,0.7633694512408249,0.8736,0.8147733631785115
4,LogReg,5.0,0.8183,0.8159618820726623,0.822,0.8189698116967221
4,RandomForest,5.0,0.764,0.7568093385214008,0.778,0.7672583826429981
4,AdaBoost,5.0,0.7616,0.7648845686512759,0.7554,0.7601126987321393
4,LSTM,5.0,0.8076,0.8072313224131042,0.8082,0.8077153707775335
5,LogReg,2.0,0.8187,0.8168621992443826,0.8216,0.8192242496759398
5,RandomForest,2.0,0.7592,0.7538190364277321,0.7698,0.7617257075004947
5,AdaBoost,2.0,0.7616,0.7648845686512759,0.7554,0.7601126987321393
5,LSTM,2.0,0.8058,0.7968932038834952,0.8208,0.8086699507389162
6,LogReg,10.0,0.8184,0.8161239078633836,0.822,0.8190514149063371
6,RandomForest,10.0,0.7634,0.7569254779555209,0.776,0.7663440647837251
6,AdaBoost,10.0,0.7616,0.7648845686512759,0.7554,0.7601126987321393
6,LSTM,10.0,0.8097,0.8065729558503266,0.8148,0.8106656054123967
7,LogReg,1.0,0.8198,0.818019093078759,0.8226,0.8203031511767053
7,RandomForest,1.0,0.7602,0.7521317829457365,0.7762,0.7639763779527559
7,AdaBoost,1.0,0.7616,0.7648845686512759,0.7554,0.7601126987321393
7,LSTM,1.0,0.8047,0.7803127874885004,0.8482,0.812841399137518
8,LogReg,0.01,0.8111,0.8094290829520588,0.8138,0.8116086566271068
8,RandomForest,0.01,0.7612,0.7545808966861598,0.7742,0.7642645607107601
8,AdaBoost,0.01,0.7616,0.7648845686512759,0.7554,0.7601126987321393
8,LSTM,0.01,0.8029,0.8271764960034564,0.7658,0.7953058469207602
