run,model,C,accuracy,precision,recall,f1
1,LogReg,10.0,0.8423,0.8387096774193549,0.8476,0.843131403561126
1,RandomForest,10.0,0.8071,0.8014922442568231,0.8164,0.8088774398097691
1,AdaBoost,10.0,0.8012,0.8106435643564357,0.786,0.7981316003249391
1,LSTM,10.0,0.8242,0.796235380116959,0.8714,0.8321237585943468
2,LogReg,5.0,0.8411,0.8380574826560951,0.8456,0.8418118466898955
2,RandomForest,5.0,0.7984,0.7934697088906373,0.8068,0.8000793335977786
2,AdaBoost,5.0,0.8012,0.8106435643564357,0.786,0.7981316003249391
2,LSTM,5.0,0.8277,0.8217160808953465,0.837,0.8292876250866937
3,LogReg,2.0,0.8385,0.8360135000992654,0.8422,0.8390953472153033
3,RandomForest,2.0,0.8067,0.799219512195122,0.8192,0.8090864197530864
3,AdaBoost,2.0,0.8012,0.8106435643564357,0.786,0.7981316003249391
3,LSTM,2.0,0.8264,0.8076923076923077,0.8568,0.8315217391304348
4,LogReg,1.0,0.8374,0.8347222222222223,0.8414,0.8380478087649402
4,RandomForest,1.0,0.8054,0.8002359418010224,0.814,0.8070592901050961
4,AdaBoost,1.0,0.8012,0.8106435643564357,0.786,0.7981316003249391
4,LSTM,1.0,0.8236,0.7922687861271677,0.8772,0.8325740318906606
5,LogReg,0.5,0.8342,0.8318109610802223,0.8378,0.8347947389398167
5,RandomForest,0.5,0.8076,0.8023987416437279,0.8162,0.8092405314297045
5,AdaBoost,0.5,0.8012,0.8106435643564357,0.786,0.7981316003249391
5,LSTM,0.5,0.8253,0.8005913879135095,0.8664,0.8321967150129671
6,LogReg,0.1,0.829,0.8262594208647362,0.8332,0.8297151961760606
6,RandomForest,0.1,0.8029,0.7981886198070486,0.8108,0.8044448854052981
6,AdaBoost,0.1,0.8012,0.8106435643564357,0.786,0.7981316003249391
6,LSTM,0.1,0.8253,0.8244564133253541,0.8266,0.8255268151403176
7,LogReg,0.05,0.8228,0.8208747514910537,0.8258,0.8233300099700898
7,RandomForest,0.05,0.7997,0.7955038453953855,0.8068,0.8011121040611657
7,AdaBoost,0.05,0.8012,0.8106435643564357,0.786,0.7981316003249391
7,LSTM,0.05,0.8247,0.8268572579021543,0.8214,0.8241195946623858
8,LogReg,0.01,0.8079,0.8067344092448695,0.8098,0.8082642978341151
8,RandomForest,0.01,0.7997,0.7955038453953855,0.8068,0.8011121040611657
8,AdaBoost,0.01,0.8012,0.8106435643564357,0.786,0.7981316003249391
8,LSTM,0.01,0.8212,0.8564136706613404,0.7718,0.811908268462024
