run,model,C,accuracy,precision,recall,f1
1,LogReg,10.0,0.829,0.8252273625939106,0.8348,0.8299860807317558
1,RandomForest,10.0,0.7824,0.7703944848716967,0.8046,0.7871258070827627
1,AdaBoost,10.0,0.7695,0.7674141694780711,0.7734,0.7703954577149118
1,LSTM,10.0,0.8129,0.8119641076769691,0.8144,0.8131802296555167
2,LogReg,5.0,0.8288,0.8251582278481012,0.8344,0.8297533810660302
2,RandomForest,5.0,0.7763,0.7669565217391304,0.7938,0.7801474201474201
2,AdaBoost,5.0,0.7695,0.7674141694780711,0.7734,0.7703954577149118
2,LSTM,5.0,0.8122,0.8168899715793747,0.8048,0.8107999194035865
3,LogReg,2.0,0.8274,0.8239018599129403,0.8328,0.8283270340163119
3,RandomForest,2.0,0.7813,0.7689806846433352,0.8042,0.786196109101574
3,AdaBoost,2.0,0.7695,0.7674141694780711,0.7734,0.7703954577149118
3,LSTM,2.0,0.8057,0.7711548696114955,0.8694,0.8173357149572248
4,LogReg,1.0,0.8247,0.8210401423769033,0.8304,0.825693546783335
4,RandomForest,1.0,0.7852,0.7729709035222052,0.8076,0.789906103286385
4,AdaBoost,1.0,0.7695,0.7674141694780711,0.7734,0.7703954577149118
4,LSTM,1.0,0.8094,0.784688995215311,0.8528,0.8173279662641365
5,LogReg,0.5,0.8218,0.8183616937079541,0.8272,0.8227571115973742
5,RandomForest,0.5,0.7815,0.7684531756627885,0.8058,0.786683588792346
5,AdaBoost,0.5,0.7695,0.7674141694780711,0.7734,0.7703954577149118
5,LSTM,0.5,0.8132,0.8040776699029126,0.8282,0.8159605911330049
6,LogReg,0.1,0.8143,0.8096551724137931,0.8218,0.815682382133995
6,RandomForest,0.1,0.7793,0.7662535748331745,0.8038,0.7845778428501708
6,AdaBoost,0.1,0.7695,0.7674141694780711,0.7734,0.7703954577149118
6,LSTM,0.1,0.8109,0.8254134393971112,0.7886,0.8065868875933313
7,LogReg,0.05,0.812,0.8073286052009456,0.8196,0.8134180230250099
7,RandomForest,0.05,0.7827,0.7733513827112745,0.7998,0.7863533575852916
7,AdaBoost,0.05,0.7695,0.7674141694780711,0.7734,0.7703954577149118
7,LSTM,0.05,0.8124,0.8095521204914784,0.817,0.8132590085606212
8,LogReg,0.01,0.7982,0.7946640316205533,0.8042,0.799403578528827
8,RandomForest,0.01,0.7795,0.7696314875554698,0.7978,0.7834626338014338
8,AdaBoost,0.01,0.7695,0.7674141694780711,0.7734,0.7703954577149118
8,LSTM,0.01,0.8136,0.7970822281167109,0.8414,0.8186417590971006
